Data,Weekend MAE,Weekend R^2,US MAE,US R^2
reviews+subtitles,9019840.13699,0.434997807891,27326460.1481,0.374117543117
reviews+metadata,6929281.23948,0.458680701727,21586623.8173,0.481287263488
subtitles,10315847.2697,0.187249860924,32423780.7337,0.120579366649
reviews+subtitles+metadata,7074892.11401,0.451163434841,22079760.6008,0.496580279614
reviews,9043784.10788,0.423909799081,27237803.8572,0.382503002419
metadata,7016281.78623,0.467634195327,21933573.4153,0.502320459102
subtitles+metadata,7056991.39306,0.469911841204,21887262.4838,0.500205836905
